x,y
-0.0005,478.6873
0.0194,487.6061
0.0393,496.5249
0.0593,504.3362
0.0792,505.8228
0.0992,507.3093
0.1191,509.15
0.1391,511.1054
0.159,513.0608
0.1789,515.0162
0.1989,516.9717
0.2188,518.5014
0.2388,519.991
0.2587,521.4629
0.2787,522.8888
0.2986,524.3148
0.3185,525.1345
0.3385,525.9493
0.3584,526.7642
0.3784,527.4745
0.3983,528.1574
0.4182,529.2056
0.4382,530.2753
0.4581,531.1661
0.4781,532.0049
0.498,532.8131
0.518,533.6328
0.5379,534.4737
0.5578,535.538
0.5778,536.9461
0.5977,538.3542
0.6177,540.5391
0.6376,542.7825
0.6576,545.0258
0.6775,547.2692
0.6974,549.5125
0.7174,551.7266
0.7373,553.9384
0.7573,556.1502
0.7772,558.3619
0.7971,560.5737
0.8171,563.0177
0.837,565.4882
0.857,567.9586
0.8769,570.4291
0.8969,572.8996
0.9168,575.8995
0.9367,578.9798
0.9567,582.0602
0.9766,585.1405
0.9966,588.2208
